feature,importance
Title_Mr,0.4184997346858565
Fare,0.18911733639353934
Pclass,0.12355244755670765
Age,0.09055466033842656
FamilySize,0.057161834128782944
Title_Rare,0.04244091883010393
Sex_male,0.024871319214707338
Sex_female,0.019335327644398888
Embarked_S,0.015888282873616506
SibSp,0.007472058477997721
Title_Miss,0.003943492847006733
Title_Master,0.0027912136202833736
Embarked_Q,0.0019312872578981979
Title_Mrs,0.0014181008340639308
Parch,0.001021985296610377
IsAlone,0.0
Embarked_C,0.0
Title_the Countess,0.0
