feature,importance
Title_Master,1.3897396533124524
Title_Mr,1.2274808709678746
Pclass,1.0051074066373045
Sex_male,0.8434182379795907
Sex_female,0.7964835277575674
Title_Rare,0.5800148431296382
Title_Mrs,0.4764017549777877
IsAlone,0.3845730487741833
Embarked_S,0.3322286747716491
FamilySize,0.30332922186950045
Embarked_Q,0.28270820364984217
SibSp,0.21185762425347845
Title_Miss,0.1055804044142999
Parch,0.044536887394176675
Age,0.02869059960720277
Fare,0.003112461541485008
Embarked_C,0.002585760899891797
Title_the Countess,0.0
