feature,importance
Fare,0.23920108778762317
Age,0.20383906710340916
Title_Mr,0.09979875646983397
Sex_female,0.09348171058925431
Sex_male,0.08181144491711072
Pclass,0.07958281508493878
FamilySize,0.04626400475001292
SibSp,0.030305164254657645
Title_Miss,0.024470881791459752
Title_Mrs,0.020239955344852522
Parch,0.020146939298394628
Embarked_S,0.015556606512391673
IsAlone,0.011421492356755993
Embarked_C,0.011274731679258408
Title_Master,0.009877515765143419
Embarked_Q,0.0069311997391616606
Title_Rare,0.005796626555741271
Title_the Countess,0.0
